,symbol,sector
1059,UL,Consumer Non-Durables
1060,UMC,Electronic Technology
1061,UMPQ,Finance
1062,UNFI,Distribution Services
1063,UNH,Health Services
1064,UNM,Finance
1065,UNP,Transportation
1066,UNVR,Distribution Services
1067,UONE,Consumer Services
1068,UPS,Transportation
1069,UPST,Technology Services
1070,UPWK,Technology Services
1071,URBN,Retail Trade
1072,URG,Non-Energy Minerals
1073,USAS,Non-Energy Minerals
1074,USB,Finance
1075,USFD,Distribution Services
1076,UUUU,Non-Energy Minerals
1077,UWMC,Finance
1078,UXIN,Technology Services
1079,V,Finance
1080,VALE,Non-Energy Minerals
1081,VBIV,Health Technology
1082,VEDL,Non-Energy Minerals
1083,VEON,Communications
1084,VET,Energy Minerals
1085,VFC,Consumer Non-Durables
1086,VFF,Process Industries
1087,VG,Communications
1088,VIAC,Consumer Services
1089,VIAV,Technology Services
1090,VIEW,Process Industries
1091,VIPS,Retail Trade
1092,VIRT,Finance
1093,VIV,Communications
1094,VKTX,Health Technology
1095,VLDR,Electronic Technology
1096,VLO,Energy Minerals
1097,VLY,Finance
1098,VMW,Technology Services
1099,VNET,Technology Services
1100,VNT,Transportation
1101,VOD,Communications
1102,VOYA,Finance
1103,VRAY,Health Technology
1104,VRM,Retail Trade
1105,VRT,Electronic Technology
1106,VRTX,Health Technology
1107,VST,Utilities
1108,VSTM,Health Technology
1109,VSTO,Consumer Durables
1110,VTGN,Health Technology
1111,VTNR,Industrial Services
1112,VTRS,Health Technology
1113,VTVT,Health Technology
1114,VUZI,Electronic Technology
1115,VVV,Process Industries
1116,VXRT,Health Technology
1117,VZ,Communications
1118,W,Retail Trade
1119,WAB,Producer Manufacturing
1120,WB,Technology Services
1121,WBA,Retail Trade
1122,WBT,Producer Manufacturing
1123,WDAY,Technology Services
1124,WDC,Electronic Technology
1125,WEC,Utilities
1126,WEN,Consumer Services
1127,WES,Energy Minerals
1128,WETF,Finance
1129,WFC,Finance
1130,WIMI,Technology Services
1131,WISH,Retail Trade
1132,WIT,Technology Services
1133,WKHS,Producer Manufacturing
1134,WLTW,Finance
1135,WM,Industrial Services
1136,WMB,Industrial Services
1137,WMT,Retail Trade
1138,WOOF,Retail Trade
1139,WORK,Technology Services
1140,WPF,Finance
1141,WPM,Non-Energy Minerals
1142,WPRT,Producer Manufacturing
1143,WRK,Process Industries
1144,WRN,Non-Energy Minerals
1145,WSC,Finance
1146,WSM,Retail Trade
1147,WTI,Energy Minerals
1148,WTRH,Retail Trade
1149,WU,Finance
1150,WYNN,Consumer Services
1151,X,Non-Energy Minerals
1152,XEC,Energy Minerals
1153,XEL,Utilities
1154,XERS,Health Technology
1155,XL,Producer Manufacturing
1156,XLNX,Electronic Technology
1157,XOM,Energy Minerals
1158,XP,Technology Services
1159,XPEV,Consumer Durables
1160,XRAY,Health Technology
1161,XRX,Electronic Technology
1162,XXII,Health Technology
1163,YALA,Technology Services
1164,YETI,Producer Manufacturing
1165,YEXT,Technology Services
1166,YNDX,Technology Services
1167,YPF,Energy Minerals
1168,YSG,Retail Trade
1169,YUM,Consumer Services
1170,YUMC,Consumer Services
1171,YY,Technology Services
1172,Z,Technology Services
1173,ZBH,Health Technology
1174,ZI,Technology Services
1175,ZION,Finance
1176,ZIOP,Health Technology
1177,ZM,Technology Services
1178,ZNGA,Technology Services
1179,ZOM,Miscellaneous
1180,ZS,Technology Services
1181,ZTO,Transportation
1182,ZTS,Health Technology
1183,ZYNE,Health Technology
